t_hours,T_out_C,T_in_C,T_bed_avg_C
73.5,18.121995859322038,45.0,36.614228828238915
73.75,18.14837828207851,45.0,36.794808920157706
74.0,18.17941578201993,45.0,36.97518028149587
74.25,18.21571702776681,45.0,37.155307512987314
74.5,18.257933478513692,45.0,37.33515083423169
74.75,18.306756833618866,45.0,37.5146658130748
75.0,18.362915572012565,45.0,37.693803118262004
75.25,18.427170565900525,45.0,37.87250830158989
75.5,18.50030977341577,45.0,38.05072161575043
75.75,18.583142036144167,45.0,38.22837787388754
76.0,18.67649002923323,45.0,38.405406356564754
76.25,18.781182433467244,45.0,38.5817307713768
76.5,18.89804541962096,45.0,38.757269269829536
76.75,19.02789355496281,45.0,38.931934525374956
77.0,19.171520259373153,45.0,39.10563387562955
77.25,19.329687953631623,45.0,39.278269530846735
77.5,19.5031180545394,45.0,39.449738849673054
77.75,19.692480980294185,45.0,39.619934682119364
78.0,19.898386334643764,45.0,39.78874577854468
78.25,20.121373439633178,45.0,39.95605726230828
78.5,20.3619023841687,45.0,40.12175116262126
78.75,20.62034574920006,45.0,40.28570700304708
79.0,20.896981160232468,45.0,40.447802440087315
79.25,21.191984804386045,45.0,40.60791394536592
79.5,21.50542603267868,45.0,40.76591752411365
79.75,21.837263149054735,45.0,40.9216894619718
80.0,,,40.920821633584715
80.25,,,40.91995383805412
80.5,,,40.91908607537876
80.75,,,40.9182183455574
81.0,,,40.91735064858879
81.25,,,40.91648298447167
81.5,,,40.91561535320484
81.75,,,40.914747754787015
82.0,,,40.913880189216975
82.25,,,40.913012656493464
82.5,,,40.91214515661524
82.75,,,40.91127768958107
83.0,,,40.91041025538969
83.25,,,40.909542854039884
83.5,,,40.90867548553039
83.75,,,40.90780814985996
84.0,,,40.906940847027364
84.25,,,40.90607357703135
84.5,,,40.905206339870674
84.75,,,40.904339135544106
85.0,,,40.903471964050404
85.25,,,40.9026048253883
85.5,,,40.90173771955657
85.75,,,40.90087064655396
86.0,,,40.900003606379244
86.25,,,40.899136599031166
86.5,,,40.89826962450849
86.75,,,40.89740268280997
87.0,,,40.89653577393435
87.25,,,40.89566889788041
87.5,,,40.89480205464689
87.75,,,40.893935244232566
88.0,,,40.89306846663618
88.25,,,40.892201721856495
88.5,,,40.89133500989227
88.75,,,40.89046833074225
89.0,,,40.889601684405214
89.25,,,40.8887350708799
89.5,,,40.887868490165076
89.75,,,40.8870019422595
90.0,,,40.886135427161925
90.25,,,40.885268944871115
90.5,,,40.88440249538583
90.75,,,40.88353607870481
91.0,,,40.882669694826824
91.25,,,40.88180334375064
91.5,,,40.880937025475006
91.75,,,40.880070739998686
92.0,,,40.87920448732043
92.25,,,40.87833826743899
92.5,,,40.877472080353144
92.75,,,40.87660592606164
93.0,,,40.87573980456324
93.25,,,40.8748737158567
93.5,,,40.87400765994077
93.75,,,40.873141636814225
94.0,,,40.87227564647581
94.25,,,40.871409688924295
94.5,,,40.87054376415843
94.75,,,40.86967787217698
95.0,,,40.868812012978694
95.25,,,40.867946186562335
95.5,,,40.86708039292667
95.75,,,40.86621463207044
96.0,22.177206309397338,45.0,41.01970041500705
96.25,22.544361788486412,45.0,41.17071703720323
96.5,22.929056449917404,45.0,41.31914654574008
96.75,23.330789572334147,45.0,41.464874355104534
97.0,23.74894839832764,45.0,41.6077900006441
97.25,24.182811898310042,45.0,41.74778786670912
