t_hours,T_bed_C,charge_kW,discharge_kW,loss_kW,T_supply_C
0.0,18.181577952088954,135.0,0.0,0.0,
0.25,18.361927897950967,134.0921102395552,0.0,0.005111177884615381,
0.5,18.541058142555205,133.19036051024517,0.0,0.010187789026974299,
0.75,18.718976934704575,132.29470928722398,0.0,0.015230067200914674,
1.0,18.895692467415586,131.40511532647713,0.0,0.020238244599268866,
1.25,19.071212878295615,130.52153766292207,0.0,0.025212551844556334,
1.5,19.24554624991765,129.64393560852193,0.0,0.03015321799960316,
1.75,19.418700610192474,128.77226875041177,0.0,0.0350604705780905,
2.0,19.59068393273836,127.90649694903763,0.0,0.039934535555031334,
2.25,19.761504137248238,127.0465803363082,0.0,0.04477563737717645,
2.5,19.931169089854386,126.19247931375881,0.0,0.04958399897334994,
2.75,20.099686603490674,125.34415455072806,0.0,0.054359841764714985,
3.0,20.267064438252337,124.50156698254663,0.0,0.059103385674970185,
3.25,20.43331030175331,123.66467780873832,0.0,0.06381484914047679,
3.5,20.598431849481173,122.83344849123345,0.0,0.06849444912031732,
3.75,20.762436685149673,122.00784075259413,0.0,0.07314240110628678,
4.0,20.92533236104887,121.18781657425163,0.0,0.07775891913281545,
4.25,21.087126378392913,120.37333819475565,0.0,0.08234421578682534,
4.5,21.247826187665467,119.56436810803542,0.0,0.08689850221751946,
4.75,21.407439188962798,118.76086906167266,0.0,0.09142198814610514,
5.0,21.565972732334544,117.96280405518601,0.0,0.09591488187545141,
5.25,21.723434118122174,117.17013633832728,0.0,0.10037739029968136,
5.5,21.87983059729518,116.38282940938913,0.0,0.10480971891369918,
5.75,22.035169371784953,115.6008470135241,0.0,0.10921207182265348,
6.0,22.189457594816442,114.82415314107524,0.0,0.11358465175133572,
6.25,22.342702371237554,114.05271202591778,0.0,0.11792766005351564,
6.5,22.494910757846323,113.28648814381222,0.0,0.12224129672121359,
6.75,22.646089763715867,112.52544621076838,0.0,0.12652576039391,
7.0,22.796246350517155,111.76955118142067,0.0,0.13078124836769223,
7.25,22.94538743283958,111.01876824741422,0.0,0.13500795660434028,
